title,description,source,publishedAt
Europol imagines robot crime waves in 2035,"Rapid advances in AI and robotics are set to become both powerful tools for police and potent weapons for criminals, a 48-page report from pan-European police agency Europol argues. Earlier this month, Europol's Innovation Lab published ""The Unmanned Future(s…",The Verge,2025-12-19T15:16:27Z
Privacy Coin Zcash Drops 20% as Core Dev Team Departs Electric Coin Company,The fears of centralizing forces in crypto are creating a lot of skittishness.,Gizmodo.com,2026-01-08T21:10:40Z
Apple Clings to Samsung as RAM Prices Soar,"Apple is significantly increasing its reliance on Samsung for iPhone memory as component prices surge, according to The Korea Economic Daily. 





Apple is said to be expanding the share of ‌iPhone‌ memory it sources from Samsung due to rapidly rising memory…",MacRumors,2025-12-22T14:17:42Z
"IT stocks can't trump fear, traders build bearish bets","Traders built fresh bearish derivative positions in IT stocks as caution ahead of Q3 results and recent downgrades weighed on sentiment. The NSE IT index fell 1.4%, with most stocks declining. Analysts remain cautious due to seasonal softness, geopolitical un…",The Times of India,2026-01-06T00:11:50Z
JPMorgan is ditching proxy advisors and turning to AI for shareholder votes in the US,"The bank is launching an in-house, AI-powered tool called Proxy IQ to support its shareholder voting decisions, leaving human proxy advisors behind.",Business Insider,2026-01-07T14:22:42Z
India's solar boom faces a hidden waste problem,A recent study has found that India will generate over 11 million tonnes of solar waste by 2047 if it does not scale up recycling.,BBC News,2025-12-25T23:11:20Z
Apple at the AWS re:Invent 2025 Keynote,,YouTube,2025-12-12T23:22:39Z
Stop Using AI to Unmask the ICE Agent Who Killed Renee Good,One X user had Grok put a bikini on an image of her dead body.,Gizmodo.com,2026-01-08T19:20:16Z
Caring for the Future: a Council of Europe expert reads “The Future Report”,"A person holding a compass, heart icon, and play button in one hand, while balancing a globe, book, and dumbbell in the other.",Blog.google,2025-12-18T08:00:00Z
China’s Xi hails nation's technological progress and renews promise to take back Taiwan,Chinese President Xi Jinping on Wednesday hailed his country’s technological progress in areas such as artificial intelligence and semiconductors while once ...,Yahoo Entertainment,2025-12-31T13:05:02Z
"Stock market today: Dow, S&P 500, Nasdaq futures tumble after Fed decision as Oracle earnings fall short","Oracle's revenue miss is reviving the AI bubble debate, dampening spirits on Wall Street.",Yahoo Entertainment,2025-12-10T23:35:26Z
US signs health agreement with Eswatini,"WASHINGTON, Dec 12 (Reuters) - The U. and Eswatini signed a five-year health cooperation agreement on Friday, ​the State Department said, as the Trump...",Yahoo Entertainment,2025-12-12T14:14:54Z
Mario’s Worst Nightmare Comes To The Switch 2’s Classic Collection Of GameCube Games,"Wario World brings his crazed greed for gold to the subscription package
The post Mario’s Worst Nightmare Comes To The Switch 2’s Classic Collection Of GameCube Games appeared first on Kotaku.",Kotaku,2025-12-11T12:46:05Z
"OpenAI is in ""fluid"" talks to raise $10 billion from Amazon — a move that could significantly reduce its long-term reliance on Microsoft’s infrastructure",OpenAI is reportedly in early discussions with Amazon on a potential deal that could push its valuation well beyond $500 billion. Reports also suggest that the AI firm may adopt Amazon's Trainium chips for its AI advances.,Windows Central,2025-12-17T13:46:24Z
"Taiwan's drone push needs its powerhouse industries, former US commerce official says","Taiwan has big plans for making more drones, but there are industry and economic hurdles to overcome, including getting more big businesses involved.",Business Insider,2025-12-22T13:57:01Z
"Indian IT giant TCS agrees to acquire Coastal Cloud, a Florida-based Salesforce consulting partner, for $700M, in a bid to boost its AI and US customer business (Mark Haranas/CRN)","Mark Haranas / CRN:
Indian IT giant TCS agrees to acquire Coastal Cloud, a Florida-based Salesforce consulting partner, for $700M, in a bid to boost its AI and US customer business  —  Tata Consultancy Services is buying U.S.-based Salesforce Summit Partner C…",Techmeme.com,2025-12-13T06:55:47Z
Nvidia memo says Capital One discussed alternatives to AWS as AI costs could 'get out of hand',"Several AWS customers have complained about rising cloud costs in the AI era. Capital One is the latest, and one of the biggest.",Business Insider,2025-12-19T10:00:01Z
Wikipedia cofounder says he isn't surprised at criticism of Elon Musk's Grokipedia,"""I'm not sure anybody's going to trust an encyclopedia that has a thumb on the scales,"" Wikipedia cofounder Jimmy Wales told The Verge.",Business Insider,2025-12-19T09:34:01Z
Nike is struggling to stay culturally relevant in China,"Nike was once a status symbol among Chinese consumers, but increasingly, analysts say it is losing its cultural relevance.",Business Insider,2025-12-19T15:49:51Z
Scientists sound alarm after noticing new trend affecting millions of birds — here's what's happening,A newly released 40-year study found a concerning problem.,Yahoo Entertainment,2025-12-15T04:15:00Z
Scientists discover concerning phenomenon that could cause devastating floods: 'Even more intense',"""Computer models are improving.""",Yahoo Entertainment,2025-12-19T01:15:00Z
"Chinese cyberattacks on Taiwan infrastructure averaged 2.6 million a day in 2025, report says",Chinese cyberattacks on Taiwan's key infrastructure from hospitals to banks rose 6% in 2025 from the previous year to an average of 2.63 million attacks ​a...,Yahoo Entertainment,2026-01-05T03:57:42Z
MetaX soars 700% in debut as China AI chips push lures investors,MetaX Integrated Circuits jumped 700% in its Shanghai market debut as the Chinese AI chipmaker tapped into strong momentum triggered by Beijing's push to...,Yahoo Entertainment,2025-12-17T02:19:11Z
Researchers unlock major breakthrough in 'holy grail' energy source: 'A dream that scientists have been chasing for decades',"""Imagine an electric grid powered by a stable, low-cost, and abundant source of energy ...""",Yahoo Entertainment,2025-12-13T16:30:00Z
Tesla sparks outrage with sudden move impacting thousands of customers: 'Burdensome and incomplete',The situation also raises questions about Tesla’s customer service.,Yahoo Entertainment,2025-12-18T00:00:00Z
"China's first real gaming GPU is here, and the benchmarks are brutal","China is working hard at dethroning Nvidia, but is the Lisuan G100 any good?",How-To Geek,2025-12-30T23:00:16Z
Role reversal: Meta adopts Qwen as Chinese AI becomes industry foundation,"When US tech giant Meta Platforms released its flagship Llama family of artificial intelligence models in February 2023, they were open-sourced, a move that ...",Yahoo Entertainment,2025-12-13T09:30:00Z
Sean Combs Files Appeal Requesting ‘Immediate Release’ From Prison and Resentencing,"Attorneys for Combs argue that the court determined his 50-month sentence with ""heavy reliance on acquitted conduct"" and accuse the judge of having ""acted as a thirteenth juror""",Rolling Stone,2025-12-24T17:14:38Z
Infosys shares in focus following strategic AI partnership with Cognition,The integration of Infosys Topaz Fabric and Cognition’s autonomous engineering tech is expected to fast-track software development and modernisation.,The Times of India,2026-01-08T04:08:41Z
FF7 Rebirth Director Explains The Mini-Game Bloat,"Square wanted to keep things varied, but it also wanted to pay tribute to the original FF7
The post FF7 Rebirth Director Explains The Mini-Game Bloat appeared first on Kotaku.",Kotaku,2026-01-08T19:24:28Z
"Bengaluru land Infosys sold to real estate company not allotted by govt, says Industries Department",Reports of the Rs 250-crore land deal between Infosys and Puravankara sparked a debate regarding companies selling land allotted to them by the Karnataka government.,The Indian Express,2025-12-29T13:21:27Z
"Infosys ADRs 40% spike linked to a ""bizarre"" technical glitch, says report","Infosys ADRs surged as much as 40% on the NYSE before trading was halted twice, despite the company denying any material trigger. A Canada-based report attributed the spike to a bizarre ticker-mapping glitch that may have confused automated trading systems am…",The Times of India,2025-12-20T07:47:09Z
"Stock market today: Dow, S&P 500, Nasdaq futures slump as Oracle earnings reignite AI spending fears","Oracle's revenue miss is reviving the AI bubble debate, dampening spirits on Wall Street.",Yahoo Entertainment,2025-12-10T23:35:26Z
Scientists make major breakthrough that could revolutionize solar panels: 'A big step forward',"""Can be turned into usable electricity.""",Yahoo Entertainment,2025-12-11T13:30:00Z
China launches $113 billion free-trade experiment on Hainan island,"BEIJING, Dec 18 (Reuters) - China on Thursday split off a Belgium-sized island with an economy comparable to a mid-sized country from the mainland for...",Yahoo Entertainment,2025-12-18T05:42:38Z
How Investors Are Reacting To Dycom Industries (DY) Record Backlog And Ongoing Earnings Outperformance,"In recent months Dycom Industries reported robust operational results, with contract revenue rising 14.1% year over year, adjusted EBITDA up 28.5%, and its...",Yahoo Entertainment,2025-12-18T18:23:19Z
AeroVironment (AVAV) Is Up 13.8% After New U.S. Directed‑Energy and Robotics Contracts,"AeroVironment recently delivered two JLTV-mounted LOCUST laser weapon systems to the U.S. Army, showcased its electronic warfare sensors on PteroDynamics...",Yahoo Entertainment,2025-12-25T12:09:04Z
US ski resort takes drastic measures in fight to open slopes: 'I've never seen this',"""Dizzying pace of drastic change.""",Yahoo Entertainment,2025-12-16T03:30:00Z
Tesla CEO Elon Musk makes bold claim about future tech offering: 'Will be out of this world',"""If anyone can do it, it’s him!""",Yahoo Entertainment,2025-12-15T23:55:00Z
"Archaeologists Found 7,000-Year-Old Treasures—an Incredible Hoard of Human History","Archaeologists found ancient tools in Spain, revealing the daily life and agricultural practices of early Neolithic societies from over 7,000 years ago.",Popular Mechanics,2025-12-23T14:24:00Z
"A future without work? What Elon Musk, Bill Gates, and others in AI are saying about the future.",Tesla CEO Elon Musk sees a potential future where AI has eliminated poverty.,Business Insider,2026-01-03T09:57:01Z
How AI is inspiring companies to adopt skills-based hiring,"AI is accelerating the shift toward skills-based hiring, and in the process reshaping how companies go about recruiting.",Business Insider,2025-12-17T15:10:37Z
Quantifying the hidden costs of cloud sovereignty gaps,Recent outages are symptoms of an over-reliance on US based hyperscalers.,TechRadar,2025-12-11T15:07:42Z
The fast and the future-focused are revolutionizing motorsport,"When the ABB FIA Formula E World Championship launched its first race through Beijing’s Olympic Park in 2014, the idea of all-electric motorsport still bordered on experimental. Batteries couldn’t yet last a full race, and drivers had to switch cars mid-compe…",MIT Technology Review,2025-12-15T15:00:00Z
Chairman Mukesh Ambani unveils draft AI manifesto; outlines plan to transform Reliance Industries,"In a message addressed to over six lakh Reliance employees, Ambani said the world had seen only “the tip of the iceberg” of AI’s possibilities, even as its transformative power was already evident",The Indian Express,2025-12-30T15:14:22Z
"This strategist said gold would top $4,000 by year-end. He was right. Here’s what he foresees in 2026.","On what’s looking like another record day for precious metals, Yardeni Research is now saying will reach $6,000 by the end of 2026.",MarketWatch,2025-12-23T14:32:00Z
Apple in early talks to assemble and package iPhone chips in India: report,"Apple is reportedly in exploratory conversations with at least one partner to potentially handle iPhone chip assembly and packaging in India for the first time. Here are the details.



 more…",9to5Mac,2025-12-17T02:45:25Z
Creating Family Rituals of Connection in the Age of Screens,"Families can reduce screen reliance by introducing consistent rituals of connection. Intentional, screen-free moments restore joy, calm, and belonging for children and parents.",Psychology Today,2025-12-30T15:51:23Z
Why ADRs are prone to sudden price spikes? Feroze Azeez explains,"Infosys American Depository Receipts saw a significant intraday surge. Experts attribute this spike primarily to derivative strategies and options trading mechanics. While the stock closed with a modest gain, reflecting underlying fundamentals, the dramatic i…",The Times of India,2025-12-22T06:41:23Z
Kotak Bank eyes mid-market loans amid slow big-corp demand,"Kotak Mahindra Bank is expanding its mid-market corporate loan book, targeting companies with ₹500 crore to ₹1,500 crore in turnover. This segment, which has grown over 35% compounded annually since its launch, is expected to see 20-25% growth over the next f…",The Times of India,2025-12-11T19:09:39Z
Brookfield to invest $1 billion to develop Asia’s largest GCC in Mumbai’s Powai,"The project, to be completed by 2029, is expected to create over 30,000 jobs. It is being undertaken through an agreement between the Mumbai Metropolitan Region Development Authority (MMRDA) and a venture led by Brookfield along with its partner B.S. Sharma.",The Times of India,2025-12-12T12:18:37Z
"Adani Enterprises to raise up to Rs 1,000 crore via NCDs","Adani Enterprises is launching a public issue of non-convertible debentures to raise up to one thousand crore rupees. The issue offers various tenors and interest payment options. This fundraising aims to meet the company's financing needs, including refinanc…",The Times of India,2026-01-03T02:20:41Z
Debt capital markets may cool off in 2026 as yields stay high,Indian banks led debt deal-making in 2025. Axis Bank was the top arranger. Total deals reached ₹135 lakh crore. Experts anticipate slower bond market activity in 2026. Rising bond yields make bank loans more appealing. Corporate bond issuances are expected to…,The Times of India,2026-01-07T00:49:05Z
Indira Ivf and 7 others get nod for IPOs,"Sebi has approved IPOs for eight companies, including Indira IVF and Chartered Speed. Chartered Speed plans a ₹855 crore issue, while RKCPL aims for ₹1,250 crore. Several companies, like Indira IVF and Rays of Belief, utilized confidential filings for their I…",The Times of India,2026-01-06T00:22:36Z
Rupee falls to 90.27 against dollar amid trade deal delay,"The Indian rupee fell another seven paise to close at 90.27 against the dollar on Monday, with experts anticipating further declines. This depreciation is attributed to a delayed US trade deal and reduced foreign investment in Mumbai equities. The Reserve Ban…",The Times of India,2026-01-06T00:15:34Z
Indorama gets Rs 670 crore DBS trade facility,"DBS Bank India has provided Indorama India, a subsidiary of Indorama Corp, with a ₹670 crore sustainability-linked trade facility. This loan aims to promote sustainable manufacturing in eastern India's fertiliser sector by incentivizing reductions in greenhou…",The Times of India,2025-12-23T00:41:20Z
"Before Flowers Existed, Ancient Cycad Plants Lured Insects with Heat",New research on strange cycad plants offers a glimpse into the prehistoric origins of pollination,Scientific American,2025-12-11T19:00:00Z
NARCL bids Rs 345 crore for Kurukshetra Expressway debt,Kurukshetra Expressway (KEPL) is currently facing debt recovery proceedings after its toll project on the Rohtak-Bawal section of National Highway-71 in Haryana was terminated. The concession agreement was cancelled in July 2021 following prolonged disruption…,The Times of India,2025-12-25T19:16:27Z
"Argentina pays $4.3 billion to bondholders, meeting critical deadline","Argentina has successfully paid $4.3 billion to sovereign bondholders, meeting its January 9 deadline. This crucial payment, despite low foreign reserves, aims to boost investor confidence and reopen international capital markets.  The government is keen to s…",The Times of India,2026-01-10T10:38:54Z
Rupee down 22 paise to 90.20/dollar amid disappointing macro data,"The Indian rupee depreciated by 22 paise to settle at 90.20 against the US dollar on Friday. This decline was attributed to disappointing macroeconomic data, foreign fund outflows, and strong dollar demand from importers. However, weak crude prices and a surg…",The Times of India,2026-01-03T02:10:31Z
Will MUFG's 20% stake propel Shriram Finance to new all-time highs?,"Shriram Finance shares surged to an all-time high after Japan's MUFG Bank announced its acquisition of a 20% stake. Analysts have raised price targets, citing the deal's positive impact on the NBFC's growth outlook and debt repayment confidence. The investmen…",The Times of India,2025-12-23T00:36:55Z
ET 500 Wealth Creators: Who topped the charts and who suffered losses?,"Gabriel India led wealth creators with over two-and-a-half times return. Force Motors followed with 148.4% return. Siemens saw the biggest loss, shedding 55% of its value. Tata Motors Passenger Vehicles lost 52% market capitalization. Jindal Saw reported a 45…",The Times of India,2025-12-23T02:52:01Z
"Fusion Cx, Orient Cables among 7 companies to get IPO nod","Seven companies, including Fusion Cx and Orient Cables India, have received Sebi's approval for their IPOs. Fusion Cx plans a Rs 1,000 crore issue, while Orient Cables India aims for Rs 700 crore. Other companies like RSB Retail India and Lohia Corp also rece…",The Times of India,2025-12-17T00:16:26Z
Groww launches backup trading portal to protect traders during outages,"Stock broking platform Groww on Monday said it has launched 'Groww Lite', a web-based emergency trading portal, to safeguard users during platform outages and technical glitches.",The Times of India,2025-12-22T14:54:52Z
"Freddie, Fannie $200 billion mortgage bond buy underway with $3 billion purchase, FHFA's Pulte says","Federal Housing Finance Agency Director Bill Pulte confirmed a $3 billion mortgage bond purchase occurred Friday, the day after President Trump ordered a $200 billion buy to lower housing costs. Pulte also stated that the privatization of Freddie Mac and Fann…",The Times of India,2026-01-10T10:43:48Z
Electronics stocks need a spark of profit for D-St vibe,"JP Morgan anticipates 2026 will be a crucial year for India's electronics manufacturing services (EMS) sector, with stocks facing a significant test after underperforming in 2025. A sustained recovery for these shares will depend on companies demonstrating im…",The Times of India,2026-01-09T00:16:41Z
FPI Registration: Sebi allows digital signatures,"The Securities and Exchange Board of India (Sebi) has simplified the foreign portfolio investor (FPI) registration process by introducing digital signatures. This new functionality, integrated into the common application form (CAF) portal, allows applicants t…",The Times of India,2026-01-09T00:29:05Z
"IT, Fintech poised for a comeback as market leadership expands ahead of 2026: Rajat Sharma","As India approaches 2026, investors are shifting focus from dominant sectors to lagging ones like IT, real estate, and platform businesses. Rajat Sharma sees significant opportunity in IT, citing depressed valuations and potential currency tailwinds, while al…",The Times of India,2025-12-31T05:05:31Z
Dollar Supremacy Strategy or All-Time Grift? American AI Imperialism’s Reliance on the Middle East,Washington plots to ride the AI bubble back to the top—using Persian Gulf capital and energy to get there and make everyone rich along the way—and what this can tell us about war against Venezuela.,Nakedcapitalism.com,2026-01-05T11:00:53Z
Warning against 'systematic reliance' on reserves,A scrutiny committee says the Manx government's size and scope should be reduced to cut spending.,BBC News,2026-01-05T08:17:59Z
"Tata and Infosys to Bear Brunt of Trump’s $100,000 H-1B Worker Fee","President Donald Trump’s $100,000 price tag for new H-1B workers hired from outside the US could have punishing effects for the IT outsourcing and staffing...",Yahoo Entertainment,2025-12-16T23:00:57Z
Snow blankets Italian alpine resort ahead of Winter Olympics,Fresh snowfall hit Italy’s Alpine resort of Livigno less than a month before the 2026 Milano Cortina Winter Olympics.,Al Jazeera English,2026-01-08T20:33:11Z
TCS agrees to buy Coastal Cloud for $700m,Coastal Cloud specialises in delivering Salesforce consulting services for large-scale enterprise transformations across diverse industries.,Verdict,2025-12-11T09:34:54Z
Aviva expands policy administration with TCS subsidiary Diligenta,Diligenta will administer an additional 1.1 million life insurance policies under this expanded arrangement.,Lifeinsuranceinternational.com,2025-12-19T10:03:39Z
"Mcap of 6 of top-10 most valued firms climbs ₹75,257 crore; TCS, Infosys biggest winners","Reliance Industries, Bharti Airtel, TCS, SBI, Infosys, and L&T were the gainers, while HDFC Bank, ICICI Bank, Bajaj Finance, and LIC faced erosion from their valuation",BusinessLine,2025-12-21T09:55:33Z
Can OpenAI hold onto its AI dominance in 2026?,OpenAI (OPAI.PVT) is Yahoo Finance's company of the year for 2025. Gabelli Funds portfolio manager John Belton joins Morning Brief host Julie Hyman to...,Yahoo Entertainment,2025-12-15T17:30:00Z
4 Cybersecurity Stocks With Strong Demand and Durable Moats for 2026,"Cybersecurity demand is set to grow through 2026, and QLYS, FTNT, CRWD & PANW are the four stocks with strong demand signals and competitive moats.",Yahoo Entertainment,2025-12-26T13:37:00Z
"China still targeting US-based researchers for 'malign' purposes, lawmakers warned","China is still trying to recruit US-based researchers despite years of heightened scrutiny, members of Congress were told on Thursday at a hearing where...",Yahoo Entertainment,2025-12-19T09:30:00Z
"Xi touts China’s AI, chip wins in triumphant New Year’s speech","“China has become one of the world’s fastest-rising economies in terms of innovative capacity,” Xi declared in a televised address on Wednesday.",Yahoo Entertainment,2025-12-31T20:03:00Z
"Japan prepares to restart world's biggest nuclear plant, 15 years after Fukushima","By Kantaro Komiya, Yuka Obayashi and Katya Golubkova NIIGATA, Japan, Dec 22 (Reuters) - The Japanese region of Niigata is expected to endorse a decision to...",Yahoo Entertainment,2025-12-21T22:02:56Z
Huawei hails Ascend AI ecosystem in New Year message as Atlas 900 supernode rolls out,"Meng Wanzhou, chief financial officer of Huawei Technologies and daughter of its founder, hailed the company's breakthroughs in 2025 in a New Year message...",Yahoo Entertainment,2025-12-30T09:30:00Z
More than a third of states sue HHS over a move that could curtail youth gender-affirming care,"A coalition of 19 states and the District of Columbia on Tuesday sued the U.S. Department of Health and Human Services, its secretary, Robert F. Kennedy Jr.,...",Yahoo Entertainment,2025-12-24T03:40:33Z
Is It Too Late To Consider Shopify (SHOP) After Strong 56% One Year Rally?,"If you are wondering whether Shopify's current share price still makes sense for you, it helps to step back and look at what the market might be pricing in. ...",Yahoo Entertainment,2026-01-09T21:13:21Z
"‘Grey’s Anatomy’s Steven W. Bailey Reveals Neuromuscular Disorder, Wheelchair Use: “Same Actor … Now With Wheels”","A familiar face to fans of Grey’s Anatomy, Steven W. Bailey is opening up about a five-year struggle with his own health. On Friday, the actor known for playing bartender Joe on the long-running ABC medical drama revealed his diagnosis of Congenital Myastheni…",Deadline,2026-01-04T18:54:08Z
ARIN Public Incident Report – 4.10 Misissuance Error,"Executive Summary On 2 December 2025, an IPv4 block 23.150.164.0/24, correctly allocated to the Original Customer, was inadvertently removed and reissued to the …",Arin.net,2025-12-21T15:19:41Z
Nvidia Wants To Be Your Open Source Model Provider,AI infrastructure dominance isn't enough. Nvidia wants in on the model world too.,Gizmodo.com,2025-12-15T17:20:41Z
